3,2,2,4,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,3,1,2,1,0,0,1,3,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,0,3,1,1,1,0,1,3,0,0,2,1,0,1,2,2,0,0,2,3,0,0,1,0,1,1,2,1,1,1,1,0,3,0,1,0,0,3,0,2,2,1,0,0,0,0,1,0,3,2,1,3,3,1,2,1,3
2,2,4,1,3,1,4,2,2,2,2,2,3,4,2,2,2,3,3,3,1,4,3,2,1,2,1,5,1,1,6,3,2,4,2,6,6,4,3,3,1,6,3,3,4,2,4,3,1,4,6,1,5,1,2,1,6,1,1,4,2,3,5,1,6,3,1,6,3,2,2,2,2,3,4,3,2,2,3,1,3,2,6,6,4,5,3,5,1,1,3,6,4,4,2,2,6,4,2,1
43,37,51,36,43,51,36,45,48,34,49,43,39,46,45,34,50,42,35,41,47,42,52,50,45,34,41,46,42,38,47,45,39,51,23,36,49,41,41,42,48,44,43,42,38,43,51,51,45,32,47,43,27,50,43,31,37,47,48,36,48,51,42,49,38,30,36,30,48,43,48,50,44,39,45,41,40,47,37,45,38,42,43,38,40,51,48,39,52,32,43,46,43,40,43,43,37,35,43,37
83,83,82,85,83,79,87,82,79,85,85,86,81,84,80,83,85,86,81,85,86,83,84,85,86,86,84,87,85,86,83,84,87,83,88,89,81,82,82,88,82,87,85,88,80,90,83,83,75,79,84,80,83,77,86,82,84,83,83,82,80,80,80,86,75,85,82,85,82,85,80,77,80,85,82,82,84,76,81,83,84,84,82,81,80,86,84,77,77,83,85,84,86,90,72,71,73,91,84,87
